OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
1,xxx,0.0,DSOLMap_785-Q-br2,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.319,0.1084,0.2025765341140476,2.229,24.38,17.06,58.56,7.484,0.2145,0.1304,0.0,100.0,1.337,0.1057,0.19125015552159366,1.948,25.36,16.77,57.88,8.03,0.2141,0.1306,0.0,300.0,1.368,0.10156,0.15122729994193432,1.375,28.64,16.11,55.25,8.625,0.2128,0.1351,0.0,600.0,1.392,0.09454,0.09813210227137953,1.008,31.3,15.79,52.9,9.74,0.2117,0.1371,0.0,1000.0,1.399,0.09515,0.09356573619853248,0.9263,31.44,15.79,52.75,10.98,0.2117,0.1378,0.0,2000.0,1.406,0.0914,0.0918645409949228,0.857,31.02,16.0,52.97,12.21,0.2119,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,xxx,0.0,DSOLMap_785-Qh-al,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.319,0.1084,0.020671074909596694,2.229,24.38,17.06,58.56,7.484,0.2145,0.1304,0.0,100.0,1.337,0.1057,0.019515321991999353,1.948,25.36,16.77,57.88,8.03,0.2141,0.1306,0.0,300.0,1.368,0.10156,0.015431357136932073,1.375,28.64,16.11,55.25,8.625,0.2128,0.1351,0.0,600.0,1.392,0.09454,0.010013479823610156,1.008,31.3,15.79,52.9,9.74,0.2117,0.1371,0.0,1000.0,1.399,0.09515,0.009547524101891068,0.9263,31.44,15.79,52.75,10.98,0.2117,0.1378,0.0,2000.0,1.406,0.0914,0.00937393275458396,0.857,31.02,16.0,52.97,12.21,0.2119,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,xxx,0.0,DSOLMap_785-Q-gl,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.319,0.1084,45.25,2.229,24.38,17.06,58.56,7.484,0.2145,0.1304,0.0,100.0,1.337,0.1057,42.72,1.948,25.36,16.77,57.88,8.03,0.2141,0.1306,0.0,300.0,1.368,0.10156,33.78,1.375,28.64,16.11,55.25,8.625,0.2128,0.1351,0.0,600.0,1.392,0.09454,21.92,1.008,31.3,15.79,52.9,9.74,0.2117,0.1371,0.0,1000.0,1.399,0.09515,20.9,0.9263,31.44,15.79,52.75,10.98,0.2117,0.1378,0.0,2000.0,1.406,0.0914,20.52,0.857,31.02,16.0,52.97,12.21,0.2119,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,xxx,0.0,DSOLMap_785-Q-br1,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.319,0.1084,0.17156992174965255,2.229,24.38,17.06,58.56,7.484,0.2145,0.1304,0.0,100.0,1.337,0.1057,0.16197717253359462,1.948,25.36,16.77,57.88,8.03,0.2141,0.1306,0.0,300.0,1.368,0.10156,0.1280802642365362,1.375,28.64,16.11,55.25,8.625,0.2128,0.1351,0.0,600.0,1.392,0.09454,0.0831118825359643,1.008,31.3,15.79,52.9,9.74,0.2117,0.1371,0.0,1000.0,1.399,0.09515,0.07924445004569587,0.9263,31.44,15.79,52.75,10.98,0.2117,0.1378,0.0,2000.0,1.406,0.0914,0.07780364186304686,0.857,31.02,16.0,52.97,12.21,0.2119,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,xxx,0.0,DSOLMap_785-PN-t,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.319,0.1084,2.0671074909596696e-05,2.229,24.38,17.06,58.56,7.484,0.2145,0.1304,0.0,100.0,1.337,0.1057,1.9515321991999353e-05,1.948,25.36,16.77,57.88,8.03,0.2141,0.1306,0.0,300.0,1.368,0.10156,1.5431357136932076e-05,1.375,28.64,16.11,55.25,8.625,0.2128,0.1351,0.0,600.0,1.392,0.09454,1.0013479823610156e-05,1.008,31.3,15.79,52.9,9.74,0.2117,0.1371,0.0,1000.0,1.399,0.09515,9.547524101891069e-06,0.9263,31.44,15.79,52.75,10.98,0.2117,0.1378,0.0,2000.0,1.406,0.0914,9.373932754583959e-06,0.857,31.02,16.0,52.97,12.21,0.2119,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,xxx,0.0,DSOLMap_833-Q-br2,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.18,0.1466,0.14583365850205854,8.84,22.67,26.97,50.2,11.39,0.2134,0.1381,0.0,100.0,1.248,0.1436,0.13738255011612707,6.977,22.69,28.02,49.5,11.91,0.2135,0.1393,0.0,300.0,1.302,0.1382,0.11906487676731015,5.832,24.86,26.45,48.66,12.35,0.2128,0.1428,0.0,600.0,1.338,0.1318,0.09895706715940426,5.473,26.2,26.05,47.75,13.51,0.2123,0.1456,0.0,1000.0,1.343,0.1282,0.09670898906659492,5.508,26.02,25.92,48.06,14.35,0.2124,0.1465,0.0,2000.0,1.358,0.12335,0.09375318268530854,5.023,25.72,26.17,48.12,14.98,0.2128,0.1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,xxx,0.0,DSOLMap_833-PN-t,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.18,0.1466,1.4880985561434546e-05,8.84,22.67,26.97,50.2,11.39,0.2134,0.1381,0.0,100.0,1.248,0.1436,1.4018627562870111e-05,6.977,22.69,28.02,49.5,11.91,0.2135,0.1393,0.0,300.0,1.302,0.1382,1.2149477221154097e-05,5.832,24.86,26.45,48.66,12.35,0.2128,0.1428,0.0,600.0,1.338,0.1318,1.0097659914224926e-05,5.473,26.2,26.05,47.75,13.51,0.2123,0.1456,0.0,1000.0,1.343,0.1282,9.86826419046887e-06,5.508,26.02,25.92,48.06,14.35,0.2124,0.1465,0.0,2000.0,1.358,0.12335,9.566651294419239e-06,5.023,25.72,26.17,48.12,14.98,0.2128,0.1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,xxx,0.0,DSOLMap_833-Qh-an,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.18,0.1466,0.41398901831910906,8.84,22.67,26.97,50.2,11.39,0.2134,0.1381,0.0,100.0,1.248,0.1436,0.38999821879904645,6.977,22.69,28.02,49.5,11.91,0.2135,0.1393,0.0,300.0,1.302,0.1382,0.33799845629250697,5.832,24.86,26.45,48.66,12.35,0.2128,0.1428,0.0,600.0,1.338,0.1318,0.2809168988137374,5.473,26.2,26.05,47.75,13.51,0.2123,0.1456,0.0,1000.0,1.343,0.1282,0.27453510977884393,5.508,26.02,25.92,48.06,14.35,0.2124,0.1465,0.0,2000.0,1.358,0.12335,0.26614423901074324,5.023,25.72,26.17,48.12,14.98,0.2128,0.1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,xxx,0.0,DSOLMap_837-PN-t,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.109,0.146,1.3561404010448688e-05,13.26,22.78,26.97,50.06,11.69,0.212,0.1383,0.0,100.0,1.221,0.1449,1.2529973282893436e-05,10.21,22.83,28.06,49.25,12.16,0.2122,0.1394,0.0,300.0,1.278,0.139,1.141832016541722e-05,8.99,23.23,28.16,48.72,12.48,0.2122,0.1421,0.0,600.0,1.318,0.1294,1.0134761926681795e-05,8.81,23.72,27.73,48.53,13.73,0.2119,0.1436,0.0,1000.0,1.307,0.125,1.0115661357652995e-05,8.92,23.48,27.64,48.88,14.43,0.2122,0.1442,0.0,2000.0,1.331,0.12225,9.569385083429287e-06,7.824,23.52,28.1,48.4,14.85,0.2126,0.1459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,xxx,0.0,DSOLMap_1361-Qh-al,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.183,0.1748,0.015352707404390943,10.82,22.12,28.11,49.88,11.42,0.2124,0.1353,0.0,100.0,1.274,0.173,0.014450112624177587,7.973,23.14,26.89,49.84,11.89,0.212,0.1343,0.0,300.0,1.342,0.1626,0.01228388515166554,6.44,24.88,26.1,49.0,12.48,0.2117,0.1377,0.0,600.0,1.389,0.1538,0.01007467697533381,6.01,25.83,25.77,48.4,13.66,0.2114,0.1399,0.0,1000.0,1.412,0.1504,0.00978670625974193,6.312,25.48,25.72,48.78,14.69,0.2115,0.1407,0.0,2000.0,1.422,0.147,0.009584696951789418,6.676,25.3,25.83,48.88,15.47,0.2117,0.1411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
